"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","2020",16.3136380962226,
"AUT","ELDLYPOP","TOT","PC_POP","A","2020",19.1522113482964,
"BEL","ELDLYPOP","TOT","PC_POP","A","2020",19.2648904513086,
"CAN","ELDLYPOP","TOT","PC_POP","A","2020",18.0081935075086,
"CZE","ELDLYPOP","TOT","PC_POP","A","2020",20.0490179815152,
"DNK","ELDLYPOP","TOT","PC_POP","A","2020",20.0397333235828,
"FIN","ELDLYPOP","TOT","PC_POP","A","2020",22.4901687209345,
"FRA","ELDLYPOP","TOT","PC_POP","A","2020",20.5213495914818,
"DEU","ELDLYPOP","TOT","PC_POP","A","2020",21.8626386058916,
"GRC","ELDLYPOP","TOT","PC_POP","A","2020",22.4050592802028,
"HUN","ELDLYPOP","TOT","PC_POP","A","2020",20.0966179710206,
"ISL","ELDLYPOP","TOT","PC_POP","A","2020",14.575317495402,
"IRL","ELDLYPOP","TOT","PC_POP","A","2020",14.4680913473042,
"ITA","ELDLYPOP","TOT","PC_POP","A","2020",23.385900247557,
"JPN","ELDLYPOP","TOT","PC_POP","A","2020",28.5594499438306,
"KOR","ELDLYPOP","TOT","PC_POP","A","2020",15.7261930210639,
"LUX","ELDLYPOP","TOT","PC_POP","A","2020",14.5553787755011,
"MEX","ELDLYPOP","TOT","PC_POP","A","2020",7.64017790557405,
"NLD","ELDLYPOP","TOT","PC_POP","A","2020",19.6373305048304,
"NZL","ELDLYPOP","TOT","PC_POP","A","2020",15.5563632077325,
"NOR","ELDLYPOP","TOT","PC_POP","A","2020",17.7299184752704,
"POL","ELDLYPOP","TOT","PC_POP","A","2020",18.4033586123732,
"PRT","ELDLYPOP","TOT","PC_POP","A","2020",22.9696954581705,
"SVK","ELDLYPOP","TOT","PC_POP","A","2020",16.8277818659577,
"ESP","ELDLYPOP","TOT","PC_POP","A","2020",19.6415657380946,
"SWE","ELDLYPOP","TOT","PC_POP","A","2020",20.0583689833064,
"CHE","ELDLYPOP","TOT","PC_POP","A","2020",18.7277766850822,
"TUR","ELDLYPOP","TOT","PC_POP","A","2020",9.29684236511145,
"GBR","ELDLYPOP","TOT","PC_POP","A","2020",18.6470004412859,
"USA","ELDLYPOP","TOT","PC_POP","A","2020",16.5383466381704,
"BRA","ELDLYPOP","TOT","PC_POP","A","2020",9.82894429114094,
"CHL","ELDLYPOP","TOT","PC_POP","A","2020",12.1213815588301,
"COL","ELDLYPOP","TOT","PC_POP","A","2020",9.31496167635042,
"EST","ELDLYPOP","TOT","PC_POP","A","2020",20.1899390663561,
"ISR","ELDLYPOP","TOT","PC_POP","A","2020",12.0540355826347,
"RUS","ELDLYPOP","TOT","PC_POP","A","2020",15.6541170549028,
"SVN","ELDLYPOP","TOT","PC_POP","A","2020",20.4680576308279,
"EU27","ELDLYPOP","TOT","PC_POP","A","2020",20.700365917534,
"OECD","ELDLYPOP","TOT","PC_POP","A","2020",17.3929640848224,
"LVA","ELDLYPOP","TOT","PC_POP","A","2020",20.6559190254087,
"ARG","ELDLYPOP","TOT","PC_POP","A","2020",11.5207027879005,
"BGR","ELDLYPOP","TOT","PC_POP","A","2020",21.691141423836,
"CHN","ELDLYPOP","TOT","PC_POP","A","2020",12.5982619734463,
"CRI","ELDLYPOP","TOT","PC_POP","A","2020",8.86434217581135,
"HRV","ELDLYPOP","TOT","PC_POP","A","2020",21.3125296466124,
"CYP","ELDLYPOP","TOT","PC_POP","A","2020",16.378701488555,
"IND","ELDLYPOP","TOT","PC_POP","A","2020",6.67232003684342,
"IDN","ELDLYPOP","TOT","PC_POP","A","2020",6.7498036003997,
"LTU","ELDLYPOP","TOT","PC_POP","A","2020",19.9117673893559,
"MLT","ELDLYPOP","TOT","PC_POP","A","2020",18.6744416199329,
"ROU","ELDLYPOP","TOT","PC_POP","A","2020",19.1229504040822,
"SAU","ELDLYPOP","TOT","PC_POP","A","2020",3.20491169470078,
"SGP","ELDLYPOP","TOT","PC_POP","A","2020",15.1912981768998,
"ZAF","ELDLYPOP","TOT","PC_POP","A","2020",6.09219357962723,
"WLD","ELDLYPOP","TOT","PC_POP","A","2020",9.43096544918913,
"G20","ELDLYPOP","TOT","PC_POP","A","2020",11.8113007677749,
